country,x,y
South Africa,72.0,-255.0
Lesotho,122.0,-255.0
Swaziland,156.0,-233.0
Namibia,9.0,-208.0
Botswana,76.0,-196.0
Zimbabwe,137.0,-172.0
Mozambique,170.0,-196.0
Angola,13.0,-123.0
Zambia,101.0,-132.0
Malawi,189.0,-137.0
Sao Tome,-101.0,-17.0
Gabon,-51.0,-22.0
Congo,-11.0,-25.0
Democratic Republic of Congo,70.0,-36.0
Burundi,139.0,-49.0
Rwanda,139.0,-35.0
Tanzania,187.0,-66.0
Uganda,163.0,-6.0
Kenya,218.0 ,-15.0
Somalia,309.0,19.0
Ethiopia,241.0,48.0
South Sudan,-149.0,39.0
Central African Republic,38.0,38.0
Cameroon,-44.0,20.0
Equatorial Guinea,-82.0,1.0
Nigeria,-95.0,55.0
CHAD,14.0,105.0
Sudan,137.0,115.0
Egypt,135.0,192.0
Libya,30.0,195.0
Niger,-72.0,127.0
Algeria,-130.0,208.0
Tunisia,-74.0,252.0
Mali,-195.0,132.0
Burkina Faso,187.0,83.0
Ghana,-186.0,26.0
Togo,-162.0,48.0
Benin,-147.0, 63.0
Ivory Coast,-235.0,49.0
Liberia,-277.0,20.0
Sierra Leone,-311.0,35.0
Guinea,-291.0,72.0
Senegal,-312.0,94.0
Gambia,-335.0,101.0
Cape Verde,-340.0,118.0
Mauritania,-273.0,155.0
Morocco,-265.0,226.0
Madagascar,292.0,-187.0
Comoros,281.0,-110.0
Eritrea,240.0,110.0
Djibouti,304.0,79.0
